20
LOORRLLROO Buck_Wheat
OROROLLROL Darla_Rascal
LOORLLLRLR Spanky_Boyd
RRROLORLLR Al_Falfa
ROORRLLROO Froggy_Mann
RLLRLOLROO Weaser_Kidd
LOOLRLLRLR Butch_Bully
OORLLROLRO T_Cherlady
LLORRLROLR Stimey_Hatman
OORLLRORLO Cotton_Hatman
LLRLOOLORL Snow_White
OROLROLROL Dopey_Dwarf
RLRRRLRLLO Sneezy_Dwarf
OOLLOORLRO Bashful_Dwarf
ROLLLROLLL Pillsbury_Doughboy
LLLLLLLLLL Bugs_Bunny
RRRRRRRRRR Daffy_Duck
OOOOOOOOOO Yosemite_Sam
LORLORLORR Datas_Brother
ROLLOROLLO Nancys_Friend
ROLLLROLLL
LOO?RLLR??
ROLRRLRRLR
???R???R??
L???O?L???
